MouseID,Age,DOB,Parent-Cage,Sex,Genotype,CAGE
141,168w0d,6/23/2022,BCJ18,Female,HET,H8
149,168w0d,6/23/2022,BCJ15,Female,HET,H8
109,174w2d,5/10/2022,BCJ15,Female,HET,H8
110,174w2d,5/10/2022,BCJ15,Female,HET,H8
101,174w0d,5/12/2022,BCJ15,Female,HET,H7
102,174w0d,5/12/2022,BCJ15,Female,HET,H7
104,174w0d,5/12/2022,BCJ15,Female,HET,H7
201,160w4d,8/14/2022,BCJ17,Female,HET,H14
153,168w6d,6/17/2022,,Female,MUT,M9
156,168w6d,6/17/2022,,Female,MUT,M9
150,168w0d,6/23/2022,,Female,MUT,M9
996,175w5d,4/30/2022,,Female,MUT,M7
999,175w3d,5/2/2022,,Female,MUT,M7
103,174w2d,5/10/2022,BCJ15,Female,MUT,M8
112,174w2d,5/10/2022,BCJ15,Female,MUT,M8
152,168w6d,6/17/2022,BCJ17,Female,WT,W6
154,168w6d,6/17/2022,BCJ17,Female,WT,W6
142,168w0d,6/23/2022,BCJ18,Female,WT,W6
151,168w0d,6/23/2022,BCJ15,Female,WT,W6
944,175w3d,5/2/2022,,Female,WT,W5
155,168w6d,6/17/2022,BCJ17,Male,HET,H10
143,168w0d,6/23/2022,BCJ18,Male,HET,H7
144,168w0d,6/23/2022,BCJ18,Male,HET,H7
145,168w0d,6/23/2022,BCJ18,Male,HET,H7
146,168w0d,6/23/2022,BCJ15,Male,HET,H10
111,175w3d,5/2/2022,BCJ16,Male,HET,H6
164,175w3d,5/2/2022,,Male,HET,H6
166,175w3d,5/2/2022,,Male,HET,H6
1000,175w3d,5/2/2022,,Male,HET,H6
940,174w2d,5/10/2022,,Male,HET,H5
942,174w2d,5/10/2022,,Male,HET,H5
943,174w2d,5/10/2022,,Male,HET,H5
147,168w0d,6/23/2022,BCJ15,Male,MUT,M10
105,174w0d,5/12/2022,BCJ15,Male,MUT,M9
106,174w0d,5/12/2022,BCJ15,Male,MUT,M9
190,160w4d,8/14/2022,BCJ17,Male,MUT,M13
200,160w4d,8/14/22,BCJ17,Male,MUT,M13
148,168w0d,6/23/2022,BCJ15,Male,WT,W7 
167,175w5d,4/30/2022,,Male,WT,W6
107,174w2d,5/10/2022,BCJ15,Male,WT,W7
108,174w2d,5/10/2022,BCJ15,Male,WT,W7
997,174w2d,5/10/2022,,Male,WT,W6
174,162w0d,8/4/2022,BCJ17,Male,WT,W9
